filename,theme_as_given_in_pdf,pdf_page,obverse_xref,reverse_xref
Unity in diversity Series.png,Unity in diversity Series,1,15,16
Information and Technology.png,Information and Technology,1,18,20
Rupee Symbol Series.png,Rupee Symbol Series,1,21,22
Visually Impaired Friendly Series.png,Visually Impaired Friendly Series,1,24,26
Ter Centenary of Gur-Ta-Gaddi.png,Ter Centenary of Gur-Ta-Gaddi,2,31,32
Birth Centenary of Homi Bhabha.png,Birth Centenary of Homi Bhabha,2,34,36
75 Years of Reserve Bank of India.png,75 Years of Reserve Bank of India,2,37,38
Srimad Ramchandra 150th Birth Anniversary.png,Srimad Ramchandra 150th Birth Anniversary,2,40,42
Shri Mata Vaishno Devi Shrine Board.png,Shri Mata Vaishno Devi Shrine Board,2,43,44
International Day Of Yoga.png,International Day Of Yoga,3,48,49
Return Of Mahatma Gandhi From South Africa.png,Return Of Mahatma Gandhi From South Africa,3,50,51
60 Years of Coir Board.png,60 Years of Coir Board,3,53,55
Banaras Hindu University Centenary.png,Banaras Hindu University Centenary,3,56,57
Birth Centenary of Swami Chinmayananda.png,Birth Centenary of Swami Chinmayananda,4,60,61
475th birth Anniversary of Maharana Pratap.png,475th birth Anniversary of Maharana Pratap,4,63,65
Dr. B.R. Ambedkar 125th Birth Anniversary.png,Dr. B.R. Ambedkar 125th Birth Anniversary,4,67,69
3rd Indo-Africa Forum Summit.png,3rd Indo-Africa Forum Summit,4,70,71
Lala Lajpat Rai 150th Birth Anniversary.png,Lala Lajpat Rai 150th Birth Anniversary,4,73,75
National Archives of India.png,National Archives of India,5,73,84
Dr. S Radhakrishnan 125th Birth Anniversary.png,Dr. S Radhakrishnan 125th Birth Anniversary,5,53,87
60th Anniversary of Indian Parliament.png,60th Anniversary of Indian Parliament,5,89,90
500th Anniversary of Shri Krishna Chaitanya Mahaprabhu Coming to Vrindavan.png,500th Anniversary of Shri Krishna Chaitanya Mahaprabhu Coming to Vrindavan,5,92,95
200TH Birth Anniversary of Tatya Tope.png,200TH Birth Anniversary of Tatya Tope,5,96,97
Birth Centenary of Dr. M.S.Subbulakshmi.png,Birth Centenary of Dr. M.S.Subbulakshmi,6,101,104
