filename,theme_or_series,year,pdf_page,row
X01.png,Regular Anna Series,1950,1,1
X02.png,Regular,1962,1,2
X03.png,Regular,1970,1,3
X04.png,Regular,1985,1,4
X05.png,Regular,1992,2,1
X06.png,Unity in Diversity Series,2005-06,2,2
X07.png,Nritya Mudra Series,2007-2011,2,3
X08.png,Rupee Symbol Series,2011-2019,2,4
X09.png,Visual Impaired Friendly,2019,2,5
X10.png,Jawaharlal Nehru Commemorative,1964,2,6
X11.png,Mahatma Gandhi,1969,3,1
X12.png,International Youth Year,1985,3,2
X13.png,Small Farmers,1987,3,3
X14.png,FAO Rainfed Farming,1988,3,4
X15.png,Jawaharlal Nehru Centenary,1989,3,5
X16.png,FAO Food and Environment,1989,3,6
X17.png,Dr. Ambedkar,1990,4,1
X18.png,Food For Future,1990,4,2
X19.png,SAARC Care For The Girl Child,1990,4,3
X20.png,Integrated Child Development Services 15th Anniversary,1990,4,4
X21.png,37th Commonwealth Parliamentary Conference,1991,4,5
X22.png,India Tourism Year,1991,5,1
X23.png,Rajiv Gandhi,1992,5,2
X24.png,Food and Nutrition,1992,5,3
X25.png,Quit India Movement Golden Jubilee,1992,5,4
X26.png,89th Inter Parliamentary Union Conference,1993,5,5
X27.png,International Year of the Family,1994,6,1
X28.png,8th World Tamil Conference,1995,6,2
X29.png,Cellular Jail,1997,6,3
X30.png,Saint Dyaneshwar,1999,6,4
X31.png,Jay Prakash Narayan,2002,6,5
X32.png,Maharana Pratap,2003,7,1
X33.png,Veer Durgadas,2003,7,2
X34.png,150 Years of India Post,2004,7,3
X35.png,Platinum Jubilee of Reserve Bank of India,2010,7,4
