filename,theme_year,pdf_page
NATIONAL INTEGRATION 1982-1992.png,NATIONAL INTEGRATION 1982-1992,1
Regular 1984.png,Regular 1984,1
NATIONAL INTEGRATION 1992-2004.png,NATIONAL INTEGRATION 1992-2004,1
UNITY IN DIVERSITY 2005-2007.png,UNITY IN DIVERSITY 2005-2007,2
NITYA MUDRA 2007-2011.png,NITYA MUDRA 2007-2011,2
Rupee Symbol Series 2011-2019.png,Rupee Symbol Series 2011-2019,2
Visual Impaired Friendly 2019-2022.png,Visual Impaired Friendly 2019-2022,2
Azadi Ka Amrit Mahotsav - AKAM Series 2022.png,Azadi Ka Amrit Mahotsav - AKAM Series 2022,2
IX Asian Games Delhi 1982.png,IX Asian Games Delhi 1982,3
RBI Golden Jubilee 1985.png,RBI Golden Jubilee 1985,3
India Tourism Year 1991.png,India Tourism Year 1991,3
LAND VITAL RESOURCES 1992.png,LAND VITAL RESOURCES 1992,3
Small Family Happy Family 1993.png,Small Family Happy Family 1993,4
Bio Diversity-World Food Day 1993.png,Bio Diversity-World Food Day 1993,4
WATER FOR LIFE 1994.png,WATER FOR LIFE 1994,4
AGRI EXPO 1995.png,AGRI EXPO 1995,4
8th World Tamil Conference 1995.png,8th World Tamil Conference 1995,4
Sardar Vallabhbhai Patel 1996.png,Sardar Vallabhbhai Patel 1996,5
NETAJI SUBHAS CH. BOSE CENTENARY 1997.png,NETAJI SUBHAS CH. BOSE CENTENARY 1997,5
DESHBANDHU CHITTARANJAN DAS 1998.png,DESHBANDHU CHITTARANJAN DAS 1998,5
CHHATRAPATI SHIVAJI MAHARAJ 1999.png,CHHATRAPATI SHIVAJI MAHARAJ 1999,5
SHRI AUROBINDO GHOSH 1998.png,SHRI AUROBINDO GHOSH 1998,5
SUPREME COURT OF INDIA 2000.png,SUPREME COURT OF INDIA 2000,5
SHYAMA PRASAD MOOKERJEE 2001.png,SHYAMA PRASAD MOOKERJEE 2001,6
SANT TUKARAM 2002.png,SANT TUKARAM 2002,6
Indian Railways 2003.png,Indian Railways 2003,6
150 Years of Telecom 2004.png,150 Years of Telecom 2004,6
Indian Air Force Platinum Jubilee 2007.png,Indian Air Force Platinum Jubilee 2007,6
Louis Braille 2009.png,Louis Braille 2009,6
XIX Commonwealth Games Delhi 2010.png,XIX Commonwealth Games Delhi 2010,7
Reserve Bank of India - Platinum Jubilee 2011.png,Reserve Bank of India - Platinum Jubilee 2011,7
