filename,theme,year,metal,page,row
Circulation Coin 1992-2007.png,Circulation Coin,1992-2007,Copper-Nickel,1,1
Unity in Diversity 2005-07.png,Unity in Diversity,2005-07,Stainless Steel,1,2
Connectivity and Information Technology 2007-09.png,Connectivity and Information Technology,2007-09,Stainless Steel,1,3
Circulation Coin 2009-11.png,Circulation Coin,2009-11,Nickel Brass,1,4
Circulation Coin 2011-19.png,Circulation Coin,2011-19,Nickel Brass,2,1
Circulation Coin 2019.png,Circulation Coin,2019,Nickel Brass,2,2
Indira Gandhi 1985.png,Indira Gandhi,1985,Cupro-Nickel,2,3
Centenary of Jawaharlal Nehru 1989.png,Centenary of Jawaharlal Nehru,1989,Cupro-Nickel,2,4
37th Commonwealth Parliamentary Conference 1991.png,37th Commonwealth Parliamentary Conference,1991,Cupro-Nickel,3,1
India Tourism Year 1991.png,India Tourism Year,1991,Cupro-Nickel,3,2
75th Anniversary of ILO (International Labor Organization) 1994.png,75th Anniversary of ILO (International Labor Organization),1994,Copper-Nickel,3,3
8th World Tamil Conference - Saint Thiruvalluvar 1995.png,8th World Tamil Conference - Saint Thiruvalluvar,1995,Copper-Nickel,3,4
50th Anniversary of the UN 1995.png,50th Anniversary of the UN,1995,Copper-Nickel,4,1
50th Anniversary of FAO 1995.png,50th Anniversary of FAO,1995,Copper-Nickel,4,2
Mother's Health is Child's Health 1996.png,Mother's Health is Child's Health,1996,Copper-Nickel,4,3
2600th Anniversary of Bhagwan Mahavir 2001.png,2600th Anniversary of Bhagwan Mahavir,2001,Copper-Nickel,4,4
Dadabhai Naoroji 2003.png,Dadabhai Naoroji,2003,Copper-Nickel,4,5
K.Kamaraj 2003.png,K.Kamaraj,2003,Copper-Nickel,5,1
Lal Bhadur Shastri 2004 - Copper-Nickel.png,Lal Bhadur Shastri,2004,Copper-Nickel,5,2
Lal Bhadur Shastri 2004 - Stainless Steel.png,Lal Bhadur Shastri,2004,Stainless Steel,5,3
75 years since the birth of Dandhi March 2005 - Copper-Nickel.png,75 years since the birth of Dandhi March,2005,Copper-Nickel,5,4
75 years since the birth of Dandhi March 2005 - Stainless Steel.png,75 years since the birth of Dandhi March,2005,Stainless Steel,5,5
Jagadh Guru Sree Narayana Gurudev 2006 - Copper-Nickel.png,Jagadh Guru Sree Narayana Gurudev,2006,Copper-Nickel,6,1
Jagadh Guru Sree Narayana Gurudev 2006 - Stainless Steel.png,Jagadh Guru Sree Narayana Gurudev,2006,Stainless Steel,6,2
Mahatma Basaveshwara 2006 - Copper-Nickel.png,Mahatma Basaveshwara,2006,Copper-Nickel,6,3
Mahatma Basaveshwara 2006 - Stainless Steel.png,Mahatma Basaveshwara,2006,Stainless Steel,6,4
State Bank of India Bi-Centennial Year 2006 - Copper-Nickel.png,State Bank of India Bi-Centennial Year,2006,Copper-Nickel,6,5
State Bank of India Bi-Centennial Year 2006 - Stainless Steel.png,State Bank of India Bi-Centennial Year,2006,Stainless Steel,7,1
50 years of ONGC 2006 - Copper-Nickel.png,50 years of ONGC,2006,Copper-Nickel,7,2
50 years of ONGC 2006 - Stainless Steel.png,50 years of ONGC,2006,Stainless Steel,7,3
150th Birth Anniversary of Lokmanya Bal Gangadhar Tilak 2007 - Copper-Nickel.png,150th Birth Anniversary of Lokmanya Bal Gangadhar Tilak,2007,Copper-Nickel,7,4
150th Birth Anniversary of Lokmanya Bal Gangadhar Tilak 2007 - Stainless Steel.png,150th Birth Anniversary of Lokmanya Bal Gangadhar Tilak,2007,Stainless Steel,7,5
50th Anniversary of Khadi and Village Industries Commission 2007 - Copper-Nickel.png,50th Anniversary of Khadi and Village Industries Commission,2007,Copper-Nickel,8,1
50th Anniversary of Khadi and Village Industries Commission 2007 - Stainless Steel.png,50th Anniversary of Khadi and Village Industries Commission,2007,Stainless Steel,8,2
150 Years - First War for Independence 2007 - Copper-Nickel.png,150 Years - First War for Independence,2007,Copper-Nickel,8,3
150 Years - First War for Independence 2007 - Stainless Steel.png,150 Years - First War for Independence,2007,Stainless Steel,8,4
Shaheed Bhagat Singh Centenary 2007.png,Shaheed Bhagat Singh Centenary,2007,Stainless Steel,8,5
Perarignar Anna Centenary 2009.png,Perarignar Anna Centenary,2009,Nickel Brass,9,1
125th Birth Anniversary of Dr. Rajendra Prasad 2009.png,125th Birth Anniversary of Dr. Rajendra Prasad,2009,Nickel Brass,9,2
St. Alponsa Birth Centenary 2009.png,St. Alponsa Birth Centenary,2009,Nickel Brass,9,3
60 Years of The Common Wealth 2009.png,60 Years of The Common Wealth,2009,Nickel Brass,9,4
75th Anniversary of Reserve Bank of India 2010.png,75th Anniversary of Reserve Bank of India,2010,Nickel Brass,9,5
"XIX Commonwealth Games 2010, Delhi 2010.png","XIX Commonwealth Games 2010, Delhi",2010,Nickel Brass,10,1
Birth Centenary of C.Subramaniam 2010.png,Birth Centenary of C.Subramaniam,2010,Nickel Brass,10,2
1000 years of Brihadeeswarar Temple 2010.png,1000 years of Brihadeeswarar Temple,2010,Nickel Brass,10,3
Birth Centenary of Mother Teresa 2010.png,Birth Centenary of Mother Teresa,2010,Nickel Brass,10,4
150th Birth Anniversary of Shri Rabindranath Tagore 2011.png,150th Birth Anniversary of Shri Rabindranath Tagore,2011,Nickel Brass,10,5
100 Years of Civil Aviation 2011.png,100 Years of Civil Aviation,2011,Nickel Brass,11,1
150 Years of Kuka Movement 2011.png,150 Years of Kuka Movement,2011,Nickel Brass,11,2
100 years of Indian council of Medical Research 2011.png,100 years of Indian council of Medical Research,2011,Nickel Brass,11,3
Income Tax-150 Years of Building India 2011.png,Income Tax-150 Years of Building India,2011,Nickel Brass,11,4
150 Years of Comptroller and Auditor General of India 2011.png,150 Years of Comptroller and Auditor General of India,2011,Nickel Brass,11,5
150 Years of Madan Mohan Malaviya 2011.png,150 Years of Madan Mohan Malaviya,2011,Nickel Brass,12,1
60 years of the Parliament of India 2012.png,60 years of the Parliament of India,2012,Nickel Brass,12,2
"60 Years of India Government Mint, Kolkata 2012.png","60 Years of India Government Mint, Kolkata",2012,Nickel Brass,12,3
150th Birth Anniversary of Motilal Nehru 2012.png,150th Birth Anniversary of Motilal Nehru,2012,Nickel Brass,12,4
Mata Vaishno Devi Shrine Board 2012.png,Mata Vaishno Devi Shrine Board,2012,Nickel Brass,12,5
150 Birth Anniversary of Vivekananda 2013.png,150 Birth Anniversary of Vivekananda,2013,Nickel Brass,13,1
Acharya Tulsi Birth Centenary 2013.png,Acharya Tulsi Birth Centenary,2013,Nickel Brass,13,2
Moulana Abul Kalam Azad 125th Birth Anniversary 2014.png,Moulana Abul Kalam Azad 125th Birth Anniversary,2014,Nickel Brass,13,3
Birth Centenary of Begum Akhtar 2014.png,Birth Centenary of Begum Akhtar,2014,Nickel Brass,13,4
125th Birth Anniversary of Jawaharlal Nehru 2014.png,125th Birth Anniversary of Jawaharlal Nehru,2014,Nickel Brass,13,5
BHEL-50 Years of Engineering Excellence 2014.png,BHEL-50 Years of Engineering Excellence,2014,Nickel Brass,14,1
Centenary Commemoration of Komagata Maru Incident 2014.png,Centenary Commemoration of Komagata Maru Incident,2014,Nickel Brass,14,2
Jamestji Nusserwanji Tata 175th Birth Anniversary 2015.png,Jamestji Nusserwanji Tata 175th Birth Anniversary,2015,Nickel Brass,14,3
Birth Centenary of Rani Gaidinliu 2016.png,Birth Centenary of Rani Gaidinliu,2016,Nickel Brass,14,4
Birth Centenary of Biju Patnaik 2016.png,Birth Centenary of Biju Patnaik,2016,Nickel Brass,14,5
150th Anniversary of High Court of Allahabad 2016.png,150th Anniversary of High Court of Allahabad,2016,Nickel Brass,15,1
125th Anniversary of Prasanta Chandra Mahalanobis 2018.png,125th Anniversary of Prasanta Chandra Mahalanobis,2018,Nickel Brass,15,2
Golden Jubilee 1965 Operations Valour and Sacrifice 2015.png,Golden Jubilee 1965 Operations Valour & Sacrifice,2015,Nickel Brass,15,3
Biju Patnaik Birth Centenary 2016.png,Biju Patnaik Birth Centenary,2016,Nickel Brass,15,4
University of Mysore Centenary 2016.png,University of Mysore Centenary,2016,Nickel Brass,15,5
Birth Centenary of Dr. M.G. Ramachandran 2017.png,Birth Centenary of Dr. M.G. Ramachandran,2017,Nickel Brass,16,1
Birth Centenary of Deendayal Upadhyaya 2018.png,Birth Centenary of Deendayal Upadhyaya,2018,Nickel Brass,16,2
